股票代码,股票名称,涨跌幅,当前股价
601020,华钰矿业,10,22.55
300580,贝斯特,4.32,36.72
300657,弘信电子,6.42,44.89
601127,赛力斯,-0.24,134.54
600588,用友网络,10.01,20
300253,卫宁健康,-1.49,12.57
603799,华友钴业,0.89,36.3
301005,超捷股份,8.42,35.29
603108,润达医疗,-2.4,20.76
