股票代码,股票名称,涨跌幅,当前股价
603881,数据港,10.01,40.22
300657,弘信电子,6.14,45.98
600811,东方集团,-9.65,1.03
601020,华钰矿业,2.86,24.44
601127,赛力斯,-1.5,130.86
600126,杭钢股份,8.57,13.18
603300,海南华铁,5.8,12.22
300476,胜宏科技,8.09,69.89
600519,贵州茅台,1.69,1548.68
